pdb_code,parse_failed,mw,rot_bonds,num_heavy_atoms,formal_charge,num_rings,smiles
6r0v,False,307.21799999999985,4.0,22.0,0.0,2.0,[H]OC(=O)c1c([H])c([H])c([N+](=O)[O-])c([H])c1C(=O)N([H])[C@]1([H])C(=O)N([H])C(=O)C1([H])[H]
5kat,False,340.40599999999966,4.0,25.0,0.0,4.0,[H]c1c([H])c([H])c([PH](c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
3ucj,False,222.25100000000006,3.0,13.0,0.0,1.0,[H]N(C(=O)C([H])([H])[H])c1nnc(S(=O)(=O)N([H])[H])s1
2i80,False,279.68899999999974,3.0,18.0,0.0,1.0,[H]c1c([H])c(C(F)(F)F)c([H])c([H])c1N([H])C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])Cl
4k6i,False,348.48599999999954,3.0,26.0,0.0,3.0,[H]OC(=O)c1c([H])c([H])c(C(=C([H])[H])c2c([H])c3c(c([H])c2C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C3(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
4h85,False,150.6050000000001,3.0,9.0,0.0,0.0,[H]OC(=O)[C@]([H])(Cl)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
5a6x,False,178.1840000000001,4.0,12.0,0.0,1.0,[H]O[C@]1([H])[C@]([H])(O[H])[C@]([H])(C([H])([H])[H])O[C@@]([H])(OC([H])([H])[H])[C@@]1([H])O[H]
5za9,False,392.4429999999997,4.0,29.0,0.0,4.0,[H]/N=C(\NC(=O)c1nc(-c2oc3c([H])c([H])c([H])c([H])c3c2[H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])nc1N([H])[H])N([H])[H]
2xjg,False,311.38099999999963,4.0,23.0,0.0,3.0,[H]Oc1c([H])c(OC([H])([H])[H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C(=O)N1C([H])([H])c2c([H])c([H])c([H])c([H])c2C1([H])[H]
4h81,False,184.62200000000004,3.0,12.0,0.0,1.0,[H]OC(=O)[C@]([H])(Cl)C([H])([H])c1c([H])c([H])c([H])c([H])c1[H]
6p5o,False,213.21400000000003,4.0,14.0,0.0,1.0,[H]OC(=O)c1nc([H])c([H])c([H])c1SC([H])([H])C(=O)O[H]
5sz7,False,284.3399999999998,3.0,20.0,0.0,3.0,[H]c1nc2c([H])c([H])c([H])c([H])c2c([H])c1-c1c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c1[H]
6hoq,False,194.18600000000006,4.0,14.0,0.0,1.0,[H]OC(=O)/C([H])=C(\[H])c1c([H])c([H])c(O[H])c(OC([H])([H])[H])c1[H]
5j1r,False,189.21400000000006,3.0,14.0,0.0,2.0,[H]c1oc([H])c(C([H])([H])C([H])([H])C(=O)n2c([H])c([H])c([H])c2[H])c1[H]
5upj,False,312.40899999999954,4.0,23.0,0.0,3.0,[H]Oc1c2c(oc(=O)c1[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H]
4psb,False,346.3789999999997,3.0,25.0,0.0,5.0,[H]OC(=O)[C@]1([H])[C@]23C([H])([H])C(=C([H])[H])[C@](O[H])(C([H])([H])C([H])([H])[C@@]2([H])[C@@]24OC(=O)[C@@](C([H])([H])[H])([C@@]12[H])[C@@]([H])(O[H])C([H])=C4[H])C3([H])[H]
2x8z,False,217.2900000000001,4.0,14.0,0.0,1.0,[H]OC(=O)[C@@]1([H])N(C(=O)[C@]([H])(C([H])([H])[H])C([H])([H])S[H])C([H])([H])C([H])([H])C1([H])[H]
5ep7,False,272.25999999999976,3.0,20.0,0.0,2.0,[H]OC(=O)c1c([H])c([H])c([H])c(N([H])C(=O)c2c([H])c([H])c(=O)n(C([H])([H])[H])c2[H])c1[H]
1flr,False,332.3109999999998,3.0,25.0,0.0,4.0,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1-c1c2c([H])c([H])c(=O)c([H])c-2oc2c([H])c(O[H])c([H])c([H])c12
1fcy,False,386.49099999999964,3.0,29.0,0.0,4.0,[H]OC(=O)c1c([H])c([H])c2c([H])c(C(=O)c3c([H])c([H])c4c(c3[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C4(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c2c1[H]
3lka,False,187.22000000000006,3.0,12.0,0.0,1.0,[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c1OC([H])([H])[H]
6ql2,False,258.324,4.0,16.0,0.0,2.0,[H]c1c(OC([H])([H])C([H])([H])[H])c([H])c2sc(S(=O)(=O)N([H])[H])nc2c1[H]
3pe2,False,340.3419999999999,3.0,26.0,0.0,4.0,[H]OC(=O)c1c([H])c([H])c2c(nc(N([H])c3c([H])c([H])c([H])c(C#C)c3[H])c3nc([H])nc([H])c32)c1[H]
4km0,False,248.7170000000001,4.0,17.0,0.0,2.0,[H]c1c([H])c(-c2c(N([H])[H])nc(N([H])[H])nc2C([H])([H])C([H])([H])[H])c([H])c([H])c1Cl
4m0y,False,295.30199999999974,3.0,22.0,0.0,3.0,[H]c1c([H])c([H])c2c(-n3nc(C(=O)N([H])[H])c(N([H])C(=O)N([H])[H])c3[H])c([H])c([H])c([H])c2c1[H]
6dpy,False,369.3699999999998,4.0,25.0,0.0,3.0,[H]OC(=O)c1c(C([H])([H])[H])oc(C([H])([H])[H])c1S(=O)(=O)N([H])[C@@]1([H])c2c([H])c(F)c([H])c([H])c2OC([H])([H])C1([H])[H]
6e6m,False,258.3610000000001,4.0,19.0,0.0,2.0,[H]Oc1c([H])c(C([H])([H])[H])c([H])c(O[H])c1[C@]1([H])C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])C(=C([H])[H])C([H])([H])[H]
2aac,False,164.1570000000001,4.0,11.0,0.0,1.0,[H]O[C@]1([H])O[C@]([H])(C([H])([H])[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]1([H])O[H]
3dcc,False,275.74199999999985,3.0,16.0,0.0,2.0,[H]c1c([H])c([H])c(-c2nnc(S(=O)(=O)N([H])[H])s2)c(Cl)c1[H]
2iuz,False,386.3719999999998,3.0,28.0,0.0,4.0,[H]c1nc2c(c(=O)n(C([H])([H])C([H])([H])n3c(=O)c4c(nc([H])n4C([H])([H])[H])n(C([H])([H])[H])c3=O)c(=O)n2C([H])([H])[H])n1C([H])([H])[H]
3hs4,False,222.25100000000006,3.0,13.0,0.0,1.0,[H]N(C(=O)C([H])([H])[H])c1nnc(S(=O)(=O)N([H])[H])s1
5za8,False,356.4139999999997,4.0,26.0,0.0,3.0,[H]/N=C(\NC(=O)c1nc(-c2c([H])nn(C([H])([H])[H])c2[H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])nc1N([H])[H])N([H])[H]
2pog,False,282.3389999999996,3.0,21.0,0.0,4.0,[H]Oc1c([H])c([H])c([C@]2([H])Oc3c([H])c([H])c([H])c(O[H])c3[C@]3([H])C([H])([H])C([H])([H])C([H])([H])[C@]23[H])c([H])c1[H]
4o09,False,378.51599999999956,3.0,28.0,0.0,4.0,[H]c1c(-n2c([H])c(C([H])([H])[H])c3c2C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C3=O)c([H])c(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c2c1C([H])([H])C([H])([H])N([H])C2=O
6d1i,False,253.19400000000007,4.0,17.0,0.0,2.0,[H]OP(=O)(O[H])C([H])([H])c1c([H])c(=O)n(C([H])([H])[H])c2c([H])c([H])c([H])c([H])c12
1m1b,False,168.126,4.0,10.0,0.0,0.0,[H]OC(=O)C(=O)C([H])([H])S(=O)(=O)O[H]
4ghi,False,308.6559999999999,3.0,21.0,0.0,3.0,[H]c1c(F)c([H])c(N([H])c2c([H])c([H])c3nonc3c2[N+](=O)[O-])c([H])c1Cl
1ejn,False,341.4589999999995,4.0,25.0,0.0,5.0,[H]/N=C(/N([H])[H])N([H])c1c([H])c([H])c(C([H])([H])N([H])C(=O)N([H])[C@]23C([H])([H])[C@@]4([H])C([H])([H])[C@]([H])(C([H])([H])[C@]([H])(C4([H])[H])C2([H])[H])C3([H])[H])c([H])c1[H]
5gmn,False,361.3939999999997,4.0,25.0,0.0,3.0,[H]c1c([H])c(F)c([H])c(C2=C(c3c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c3[H])OC(C([H])([H])[H])(C([H])([H])[H])C2=O)c1[H]
5j2x,False,366.1459999999998,4.0,22.0,0.0,3.0,[H]Oc1c([H])c(O[H])c(-c2nn([H])c(=O)n2-c2c([H])c([H])c([H])c([H])c2F)c([H])c1Br
3pe1,False,349.7769999999999,3.0,25.0,0.0,4.0,[H]OC(=O)c1c([H])c([H])c2c(nc(N([H])c3c([H])c([H])c([H])c(Cl)c3[H])c3c([H])c([H])nc([H])c32)c1[H]
4pp3,False,308.42099999999954,4.0,23.0,0.0,2.0,[H]OC(=O)/C([H])=C(/C([H])=C([H])/C([H])=C(\C([H])=C1\c2c([H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])C([H])([H])C1([H])[H])C([H])([H])[H])C([H])([H])[H]
5n25,False,234.2800000000001,3.0,16.0,0.0,2.0,[H]c1nc([H])c(-c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])c([H])c1[H]
6b1k,False,319.32399999999984,3.0,24.0,0.0,4.0,[H]Oc1c([H])c([H])c(-n2nnc(-c3nc4c(=O)n(C([H])([H])[H])c([H])c([H])c4c([H])c3[H])c2[H])c([H])c1[H]
5fnc,False,248.7170000000001,4.0,17.0,0.0,2.0,[H]c1c(Cl)nc(N([H])[H])nc1N([H])C([H])([H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H]
5ltn,False,192.17000000000004,4.0,14.0,0.0,1.0,[H]OC(=O)C(=O)C([H])([H])C(=O)c1c([H])c([H])c([H])c([H])c1[H]
4oct,False,146.09800000000004,4.0,10.0,0.0,0.0,[H]OC(=O)C(=O)C([H])([H])C([H])([H])C(=O)O[H]
1pxp,False,325.4409999999997,4.0,23.0,0.0,3.0,[H]c1nc(N([H])c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])nc(-c2sc(C([H])([H])[H])nc2C([H])([H])[H])c1[H]
5chk,False,242.23400000000007,3.0,18.0,0.0,2.0,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1N([H])N=C1C([H])=C([H])C(=O)C([H])=C1[H]
2xn3,False,241.29000000000008,3.0,18.0,0.0,2.0,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1N([H])c1c([H])c([H])c([H])c(C([H])([H])[H])c1C([H])([H])[H]
4daf,False,251.20200000000006,4.0,18.0,0.0,2.0,[H]OC(=O)[C@@]([H])(c1nnc2nc(N([H])[H])n([H])c(=O)c2c1O[H])C([H])([H])[H]
2epn,False,219.26200000000009,4.0,14.0,0.0,2.0,[H]OC([H])([H])[C@@]1([H])O[C@]2([H])SC(C([H])([H])[H])=N[C@]2([H])[C@@]([H])(O[H])[C@]1([H])O[H]
1ai4,False,168.14800000000005,4.0,12.0,0.0,1.0,[H]OC(=O)C([H])([H])c1c([H])c([H])c(O[H])c(O[H])c1[H]
2jdu,False,178.1840000000001,4.0,12.0,0.0,1.0,[H]O[C@]1([H])[C@]([H])(O[H])[C@]([H])(C([H])([H])[H])O[C@@]([H])(OC([H])([H])[H])[C@@]1([H])O[H]
3cfn,False,299.3509999999997,4.0,21.0,0.0,3.0,[H]OS(=O)(=O)c1c([H])c([H])c([H])c2c([H])c([H])c([H])c(N([H])c3c([H])c([H])c([H])c([H])c3[H])c12
1n0s,False,332.3109999999998,3.0,25.0,0.0,4.0,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1-c1c2c([H])c([H])c(=O)c([H])c-2oc2c([H])c(O[H])c([H])c([H])c12
1uz4,False,161.1570000000001,4.0,11.0,0.0,1.0,[H]OC([H])([H])[C@@]1([H])C([H])([H])N([H])C(=O)[C@@]([H])(O[H])[C@]1([H])O[H]
5sz3,False,284.3399999999998,3.0,20.0,0.0,3.0,[H]c1nc2c([H])c([H])c([H])c([H])c2c([H])c1-c1c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c1[H]
186l,False,134.222,3.0,10.0,0.0,1.0,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H]
5dqe,False,292.13199999999983,3.0,17.0,0.0,2.0,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1N([H])c1c([H])c([H])c([H])c(Br)c1[H]
2uyq,False,237.2190000000001,4.0,17.0,0.0,3.0,[H]O[C@@]1([H])[C@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)OC([H])([H])[C@@]1([H])O[H]
3eko,False,219.19600000000003,4.0,16.0,0.0,2.0,[H]Oc1c([H])c(O[H])c(C(=O)n2c([H])c([H])c([H])c2[H])c(O[H])c1[H]
5u0g,False,267.30599999999976,4.0,18.0,0.0,2.0,[H]c1c([H])c(C([H])([H])[C@@]2([H])SC(=O)N([H])C2=O)c(OC([H])([H])[H])c([H])c1OC([H])([H])[H]
4ddh,False,206.19700000000006,3.0,15.0,0.0,2.0,[H]OC(=O)C([H])([H])c1c([H])oc2c([H])c(OC([H])([H])[H])c([H])c([H])c12
4lrr,False,335.2709999999999,3.0,25.0,0.0,4.0,[H]c1c([H])c([N+](=O)[O-])c([H])c([H])c1C(=O)Oc1c([H])c([H])c2c3c(c([H])c([H])c([H])c13)C(=O)O2
6d1g,False,333.0739999999997,4.0,18.0,0.0,2.0,[H]OP(=O)(O[H])C([H])([H])c1c([H])c(=O)oc2c([H])c(C([H])([H])[H])c([H])c(Br)c12
6i66,False,150.22100000000012,3.0,11.0,0.0,1.0,[H]Oc1c([H])c([H])c([C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c1[H]
6htg,False,290.70599999999973,4.0,20.0,0.0,2.0,[H]ON([H])C(=O)c1c([H])c([H])c(Cl)c(N([H])C(=O)c2c([H])c([H])c([H])c([H])c2[H])c1[H]
2uy4,False,222.25100000000006,3.0,13.0,0.0,1.0,[H]N(C(=O)C([H])([H])[H])c1nnc(S(=O)(=O)N([H])[H])s1
2wor,False,299.3509999999997,4.0,21.0,0.0,3.0,[H]OS(=O)(=O)c1c([H])c([H])c([H])c2c([H])c([H])c([H])c(N([H])c3c([H])c([H])c([H])c([H])c3[H])c12
4qem,False,164.16000000000005,3.0,12.0,0.0,1.0,[H]OC(=O)/C([H])=C(\[H])c1c([H])c([H])c(O[H])c([H])c1[H]
1ro6,False,275.34799999999956,4.0,20.0,0.0,3.0,[H]c1c([H])c([C@@]2([H])C([H])([H])C(=O)N([H])C2([H])[H])c([H])c(OC2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c1OC([H])([H])[H]
6hqy,False,294.3099999999998,4.0,22.0,0.0,3.0,[H]c1c([H])c(C([H])([H])n2c([H])c([H])c3c([H])c([H])c(C(=O)N=O)c([H])c32)c([H])c([H])c1OC([H])([H])[H]
2q1q,False,290.3659999999997,3.0,18.0,0.0,2.0,[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c1N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])S1(=O)=O
4mgd,False,317.5989999999999,4.0,19.0,0.0,2.0,[H]Oc1c([H])c([H])c(C([H])(c2c([H])c([H])c(O[H])c([H])c2[H])C(Cl)(Cl)Cl)c([H])c1[H]
4gkm,False,271.2719999999997,4.0,20.0,0.0,2.0,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1N([H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1C(=O)O[H]
5f08,False,300.44599999999946,4.0,22.0,0.0,3.0,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1N1C([H])([H])C([H])([H])C([H])(C([H])([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])C1([H])[H]
3o5n,False,306.2739999999998,3.0,22.0,0.0,3.0,[H]OC(=O)c1c([H])c([H])c([N+](=O)[O-])c2c1N([H])[C@@]([H])(C(=O)O[H])[C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]21[H]
5orv,False,207.34500000000008,4.0,11.0,0.0,1.0,[H]OC([H])([H])c1c(SC([H])([H])[H])nsc1SC([H])([H])[H]
4fht,False,154.12100000000004,3.0,11.0,0.0,1.0,[H]OC(=O)c1c([H])c([H])c(O[H])c(O[H])c1[H]
5fdi,False,274.3229999999998,4.0,17.0,0.0,2.0,[H]C1=C(C([H])([H])N([H])S(=O)(=O)N([H])[H])c2c([H])c([H])c([H])c([H])c2S1(=O)=O
5nea,False,238.2680000000001,3.0,16.0,0.0,2.0,[H]c1nc(C([H])([H])[H])oc1-c1c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c1[H]
5lvq,False,235.2830000000001,3.0,17.0,0.0,2.0,[H]c1c([H])c([H])c(C(=O)N([H])C([H])([H])[H])c(OC2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H]
6dd0,False,276.1309999999998,4.0,18.0,0.0,2.0,[H]OP(=O)(O[H])C([H])([H])c1c([H])c(=O)oc2c([H])c(F)c([H])c(F)c12
2v58,False,395.05799999999994,3.0,20.0,0.0,3.0,[H]c1c([H])c(Br)c(-c2c(N([H])[H])nc3nc(N([H])[H])nc([H])c3c2[H])c(Br)c1[H]
6poi,False,268.26799999999974,4.0,20.0,0.0,3.0,[H]OC(=O)C([H])([H])c1c([H])oc2c([H])c(Oc3c([H])c([H])c([H])c([H])c3[H])c([H])c([H])c12
5zg0,False,320.4139999999996,3.0,22.0,0.0,3.0,[H]C1=C([H])[C@]([H])(c2c([H])c([H])c(OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])C2=NS(=O)(=O)C([H])([H])C([H])([H])N2C1([H])[H]
5e73,False,322.36399999999975,3.0,24.0,0.0,3.0,[H]Oc1c([H])c([H])c(C([H])([H])[H])c(N(C(=O)C([H])([H])[H])c2c([H])n(C(=O)C([H])([H])[H])c3c([H])c([H])c([H])c([H])c23)c1[H]
1ajp,False,168.14800000000005,4.0,12.0,0.0,1.0,[H]OC(=O)C([H])([H])c1c([H])c(O[H])c([H])c([H])c1O[H]
1m2p,False,285.21099999999984,3.0,21.0,0.0,3.0,[H]Oc1c([H])c([H])c([H])c2c1C(=O)c1c(O[H])c([H])c([H])c([N+](=O)[O-])c1C2=O
4l19,False,272.37299999999965,3.0,19.0,0.0,3.0,[H]c1c([H])c(C([H])([H])Sc2nc3c(c(=O)n2[H])C([H])([H])C([H])([H])C3([H])[H])c([H])c([H])c1C([H])([H])[H]
5iwg,False,314.3599999999996,4.0,23.0,0.0,3.0,[H]c1c([H])c(-c2c([H])c([H])c(N([H])[H])c(N([H])C(=O)C3([H])C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c2[H])c([H])c([H])c1F
3sur,False,219.26200000000009,4.0,14.0,0.0,2.0,[H]OC([H])([H])[C@@]1([H])O[C@]2([H])SC(C([H])([H])[H])=N[C@]2([H])[C@@]([H])(O[H])[C@]1([H])O[H]
4tte,False,246.2660000000001,3.0,18.0,0.0,2.0,[H]c1c(C(=O)OC([H])([H])[H])c([H])c(N([H])[H])c([H])c1-c1c(C([H])([H])[H])noc1C([H])([H])[H]
3s0e,False,164.2040000000001,4.0,12.0,0.0,1.0,[H]Oc1c([H])c([H])c(C([H])([H])C([H])=C([H])[H])c([H])c1OC([H])([H])[H]
5dw2,False,196.2060000000001,4.0,14.0,0.0,1.0,[H]c1c(OC([H])([H])[H])c([H])c(N([H])[H])c(C(=O)N([H])[H])c1OC([H])([H])[H]
4c6u,False,238.30800000000008,4.0,16.0,0.0,1.0,[H]OC1=C(C(=O)C([H])([H])[H])C(=O)S[C@@]1(/C([H])=C(\C([H])=C([H])[H])C([H])([H])[H])C([H])([H])[H]
5nee,False,343.38599999999985,4.0,22.0,0.0,3.0,[H]c1nc(C(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])oc1-c1sc(S(=O)(=O)N([H])[H])c([H])c1[H]
5zae,False,342.3829999999997,4.0,25.0,0.0,3.0,[H]/N=C(\NC(=O)c1nc(-c2oc([H])c([H])c2[H])c(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])nc1N([H])[H])N([H])[H]
5wex,False,325.38999999999976,4.0,21.0,0.0,2.0,[H]S/C(=N\c1c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c1[H])N([H])c1c([H])c([H])c(F)c([H])c1[H]
1ew9,False,128.08899999999997,4.0,6.0,0.0,0.0,[H]OP(=O)(O[H])C([H])([H])S[H]
6g24,False,230.28800000000007,3.0,16.0,0.0,2.0,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1/C([H])=C(\[H])c1sc([H])c([H])c1[H]
4f1l,False,234.21100000000007,4.0,17.0,0.0,1.0,[H]OC(=O)/C([H])=C(/[H])C(=O)N([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H]
6i62,False,317.5989999999999,4.0,19.0,0.0,2.0,[H]Oc1c([H])c([H])c(C([H])(c2c([H])c([H])c(O[H])c([H])c2[H])C(Cl)(Cl)Cl)c([H])c1[H]
6d50,False,192.12300000000005,4.0,13.0,0.0,1.0,[H]OC(=O)[C@@]1([H])OC(=O)[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]
5dq8,False,281.2329999999997,3.0,20.0,0.0,2.0,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1N([H])c1c([H])c([H])c([H])c(C(F)(F)F)c1[H]
3kgt,False,270.2399999999998,4.0,20.0,0.0,3.0,[H]Oc1c([H])c([H])c(-c2c([H])oc3c([H])c(O[H])c([H])c(O[H])c3c2=O)c([H])c1[H]
6k3l,False,349.7769999999999,3.0,25.0,0.0,4.0,[H]OC(=O)c1c([H])c([H])c2c(nc(N([H])c3c([H])c([H])c([H])c(Cl)c3[H])c3c([H])c([H])nc([H])c32)c1[H]
1ew8,False,140.03100000000003,4.0,8.0,0.0,0.0,[H]OC(=O)C([H])([H])P(=O)(O[H])O[H]
4djy,False,344.41799999999967,3.0,26.0,0.0,4.0,[H]/N=C1\N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c(C#CC([H])([H])[H])c3[H])c2[H])(C2([H])C([H])([H])C2([H])[H])N1[H]
6p3t,False,381.4129999999999,3.0,27.0,0.0,4.0,[H]c1c([H])c([H])c2c([H])c(N(C([H])([H])[H])S(=O)(=O)c3c([H])c([H])c4c(c3[H])n([H])c(=O)c(=O)n4[H])c([H])c([H])c2c1[H]
